City,quiz,quiz1,Hw,midterm,attendence,final,total
Ubon,17,10,13.25,5.618181818,6.666666667,9.25,51.78484848
Bangkok,16.5,10,16.5,8.236363636,10,6.4,57.63636364
Bangkok,18.5,10,16,7.654545455,10,16,68.15454545
Paris,17,10,16.75,7.945454545,3.333333333,6.5,51.52878788
Taipei,13.5,10,14.75,7.363636364,6.666666667,19.75,62.03030303
Chiang Mai,18.5,10,16.75,10.70909091,10,21.75,77.70909091
Osaka,18.5,10,11.25,9.4,6.666666667,15.75,61.56666667
Ubon,18,10,17,19,10,26,90
Ubon,18,10,16,11.72727273,10,14.75,70.47727273
Paris,13.5,0,14,9.109090909,6.666666667,14,57.27575758
Paris,14,10,16,7.072727273,3.333333333,17.25,57.65606061
New York,18.5,10,15,9.4,6.666666667,13.5,63.06666667
Osaka,17.5,10,18,12.30909091,10,25,82.80909091
Tokyo,17,10,16.75,9.4,3.333333333,23.375,69.85833333
Tokyo,17,10,15.75,13.76363636,10,26.5,83.01363636
Tokyo,18.5,10,16.25,9.109090909,10,13.125,66.98409091
Chiang Mai,14.5,10,13.75,7.072727273,3.333333333,14.5,53.15606061
Hong Kong,19,10,16.25,9.690909091,10,11.75,66.69090909
Tokyo,19,10,16.75,9.981818182,10,19.625,75.35681818
Taipei,17.5,10,16.75,7.654545455,6.666666667,19.75,68.32121212
Osaka,17.5,10,14.75,5.327272727,10,9.25,56.82727273
Hong Kong,19.5,10,18.25,17.54545455,10,27.75,93.04545455
Chiang Mai,12,6,14,15.21818182,6.666666667,13.75,61.63484848
Hong Kong,16.5,10,14.5,9.690909091,10,22.5,73.19090909
Pathum Thani,18,10,12.5,8.090909091,6.666666667,20.5,65.75757576
Hong Kong,17.5,10,16.75,12.6,10,16.75,73.6
Hong Kong,18.5,10,16,3,6.666666667,10.5,54.66666667
Tokyo,16.5,10,14,9.690909091,6.666666667,11.25,58.10757576
Taipei,19.5,10,17,10.27272727,10,11.75,68.52272727
Pathum Thani,18.5,10,16,8.527272727,10,9,62.02727273
Paris,18,10,14.25,8.818181818,3.333333333,22.625,67.02651515
Chiang Mai,19.5,10,17,9.836363636,10,20.75,77.08636364
Paris,16,10,16.75,16.38181818,10,15.75,74.88181818
Tokyo,19,10,16.5,9.690909091,10,10,65.19090909
Osaka,19,10,17,14.34545455,6.666666667,26.75,83.76212121
Tokyo,16.5,10,16,8.818181818,10,16.5,67.81818182
Taipei,12.5,10,18.25,15.21818182,10,25.25,81.21818182
Pathum Thani,14.5,10,14,9.981818182,6.666666667,22.75,67.89848485
Chiang Mai,16.5,10,16,10.12727273,10,20,72.62727273
Ubon,18,10,17,7.654545455,6.666666667,19,68.32121212
Ubon,8,10,16.25,15.21818182,6.666666667,27.5,73.63484848
Chiang Mai,16.5,10,16.5,15.50909091,10,26.125,84.63409091
Tokyo,18,10,16.75,3.872727273,6.666666667,10.25,55.53939394
Chiang Mai,17.5,10,16.25,12.01818182,10,20.5,76.26818182
Bangkok,19,10,17.5,7.945454545,6.666666667,12,63.11212121
Osaka,17,10,15.5,6.2,6.666666667,8.5,53.86666667
Osaka,19,10,17.25,16.96363636,10,27,90.21363636
Tokyo,17,10,15.75,10.70909091,6.666666667,16,66.12575758
Tokyo,17.5,10,16.75,14.34545455,10,26,84.59545455
Osaka,18.5,10,16.5,12.30909091,10,20.75,78.05909091
